Dia,Codi estació,Nom estació,Volum (hm3)
27/05/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.111872
26/05/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.040037
26/05/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.09512
25/05/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.042086
25/05/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.106304
24/05/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.041173
24/05/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.077056
23/05/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.041414
23/05/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0.023568
22/05/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.042355
22/05/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0
21/05/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.04593
21/05/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0
20/05/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.039749
20/05/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0
19/05/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.041341
19/05/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0
18/05/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.044896
18/05/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0
17/05/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.0438
17/05/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0
16/05/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.036763
16/05/2025,F019603,ATLL CGC - Cabalímetre ITAM Llobregat (Z05b ITAM),0
15/05/2025,F019289,ATLL CGC - Blanes. ITAM Tordera,0.043931
