Dia,Volum
2020-12-28,1.65
2020-12-29,0.86
2020-12-30,1.54
2020-12-31,1.31
2021-01-01,1.73
2021-01-02,1.57
2021-01-03,1.57
2021-01-04,1.19
2021-01-05,1.29
2021-01-06,1.11
2021-01-07,1.71
2021-01-08,1.87
2021-01-09,1.21
2021-01-10,0.0
2021-01-11,0.0
2021-01-12,0.61
2021-01-13,0.37
2021-01-14,60.07
2021-01-15,0.62
2021-01-16,0.87
2021-01-17,1.4
2021-01-18,1.81
2021-01-19,79.51
2021-01-20,1.3
2021-01-21,0.0
2021-01-22,0.88
2021-01-23,0.0
2021-01-24,0.21
2021-01-25,0.0
2021-01-26,0.78
2021-01-27,0.91
2021-01-28,0.83
2021-01-29,1.0
2021-01-30,0.95
2021-01-31,0.99
2021-02-01,0.9
2021-02-02,1.0
2021-02-03,0.97
2021-02-04,0.93
2021-02-05,0.96
2021-02-06,1.03
2021-02-07,0.96
2021-02-08,1.06
2021-02-09,0.27
2021-02-10,0.59
2021-02-11,1.28
2021-02-12,1.56
2021-02-13,1.55
2021-02-14,1.33
2021-02-15,1.38
2021-02-16,0.96
2021-02-17,0.85
2021-02-18,0.77
2021-02-19,1.57
2021-02-20,1.36
2021-02-21,1.36
2021-02-22,0.21
2021-02-23,0.07
2021-02-24,0.14
2021-02-25,0.09
2021-02-26,0.18
2021-02-27,0.42
2021-02-28,1.05
2021-03-01,102.81
2021-03-02,0.81
2021-03-03,1.08
2021-03-04,1.26
2021-03-05,1.11
2021-03-06,0.9
2021-03-07,1.14
2021-03-08,0.98
2021-03-09,0.6
2021-03-10,0.75
2021-03-11,0.88
2021-03-12,1.04
2021-03-13,0.92
2021-03-14,1.35
2021-03-15,1.09
2021-03-16,1.07
2021-03-17,1.0
2021-03-18,0.59
2021-03-19,0.2
2021-03-20,0.91
2021-03-21,0.94
2021-03-22,0.94
2021-03-23,0.96
2021-03-24,1.09
2021-03-25,1.17
2021-03-26,1.51
2021-03-27,1.32
2021-03-28,1.2
2021-03-29,1.35
2021-03-30,1.58
2021-03-31,1.16
2021-04-01,1.97
2021-04-02,1.9
2021-04-03,1.71
2021-04-04,1.69
2021-04-05,1.54
2021-04-06,1.67
2021-04-07,2.01
2021-04-08,1.34
2021-04-09,0.93
2021-04-10,1.17
2021-04-11,1.1
2021-04-12,0.71
2021-04-13,1.35
2021-04-14,1.25
2021-04-15,1.53
2021-04-16,1.36
2021-04-17,1.25
2021-04-18,1.65
2021-04-19,1.92
2021-04-20,1.34
2021-04-21,1.31
2021-04-22,1.81
2021-04-23,1.62
2021-04-24,1.68
2021-04-25,1.68
2021-04-26,1.95
2021-04-27,0.62
2021-04-28,1.47
2021-04-29,1.14
2021-04-30,0.17
2021-05-01,0.02
2021-05-02,0.0
2021-05-03,0.0
2021-05-04,0.04
2021-05-05,0.06
2021-05-06,0.1
2021-05-07,0.01
2021-05-08,0.01
2021-05-09,0.01
2021-05-10,0.03
2021-05-11,0.02
2021-05-12,0.0
2021-05-13,0.64
2021-05-14,1.32
2021-05-15,0.48
2021-05-16,1.36
2021-05-17,1.56
2021-05-18,1.68
2021-05-19,1.34
2021-05-20,1.78
2021-05-21,1.49
2021-05-22,1.35
2021-05-23,1.67
2021-05-24,0.98
2021-05-25,0.0
2021-05-26,0.76
2021-05-27,1.44
2021-05-28,1.52
2021-05-29,1.08
2021-05-30,0.37
2021-05-31,0.46
2021-06-01,0.35
2021-06-02,0.47
2021-06-03,1.33
2021-06-04,1.0
2021-06-05,1.07
2021-06-06,1.17
2021-06-07,0.41
2021-06-08,0.17
2021-06-09,0.22
2021-06-10,0.32
2021-06-11,0.36
2021-06-12,0.58
2021-06-13,0.31
2021-06-14,0.51
2021-06-15,0.68
2021-06-16,0.34
2021-06-17,0.43
2021-06-18,0.35
2021-06-19,0.22
2021-06-20,0.23
2021-06-21,0.23
2021-06-22,0.23
2021-06-23,0.19
2021-06-24,0.23
2021-06-25,0.22
2021-06-26,0.23
2021-06-27,0.23
2021-06-28,0.23
2021-06-29,0.43
2021-06-30,0.93
2021-07-01,0.79
2021-07-02,0.79
2021-07-03,0.85
2021-07-04,1.11
2021-07-05,0.94
2021-07-06,1.02
2021-07-07,1.05
2021-07-08,1.02
2021-07-09,1.41
2021-07-10,1.53
2021-07-11,1.53
2021-07-12,1.39
2021-07-13,1.14
2021-07-14,0.91
2021-07-15,0.97
2021-07-16,1.29
2021-07-17,1.27
2021-07-18,1.48
2021-07-19,1.36
2021-07-20,1.29
2021-07-21,1.01
2021-07-22,1.18
2021-07-23,1.09
2021-07-24,0.94
2021-07-25,0.1
2021-07-26,0.99
2021-07-27,0.49
2021-07-28,1.09
2021-07-29,1.52
2021-07-30,1.52
2021-07-31,1.34
2021-08-01,0.6
2021-08-02,0.27
2021-08-03,0.4
2021-08-04,0.82
2021-08-05,0.81
2021-08-06,0.9
2021-08-07,1.03
2021-08-08,1.31
2021-08-09,1.12
2021-08-10,1.14
2021-08-11,1.52
2021-08-12,1.53
2021-08-13,1.52
2021-08-14,1.52
2021-08-15,1.52
2021-08-16,1.53
2021-08-17,1.33
2021-08-18,1.51
2021-08-19,1.51
2021-08-20,1.04
2021-08-21,1.53
2021-08-22,1.5
2021-08-23,1.35
2021-08-24,1.53
2021-08-25,1.48
2021-08-26,1.34
2021-08-27,1.07
2021-08-28,1.48
2021-08-29,1.38
2021-08-30,1.49
2021-08-31,1.49
2021-09-01,1.49
2021-09-02,1.39
2021-09-03,1.16
2021-09-04,0.54
2021-09-05,0.73
2021-09-06,1.2
2021-09-07,1.28
2021-09-08,0.45
2021-09-09,0.86
2021-09-10,0.82
2021-09-11,0.28
2021-09-12,0.28
2021-09-13,0.29
2021-09-14,0.41
2021-09-15,0.0
2021-09-16,0.0
2021-09-17,0.0
2021-09-18,0.0
